date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
2000-04-01,ARG,ARS,Argentina,2.5,1,2.5,0.11607,0.05007,-0.16722,-0.09864,1.09091,7803.32672,1.92681621865149,0.39945,0.16556,-0.06301,0.10696,0.96832
2000-04-01,AUS,AUD,Australia,2.59,1.68,1.54166666666667,-0.31176,-0.35246,-0.48645,-0.44416,0.28939,29182.8237837838,2.31866081905193,-0.28285,-0.40271,-0.51984,-0.43273,0.00867
2000-04-01,BRA,BRL,Brazil,2.95,1.79,1.64804469273743,-0.26427,-0.30778,-0.45102,-0.40581,0.37836,4822.74277966102,1.87218791193419,-0.05054,-0.20923,-0.3643,-0.24898,0.33541
2000-04-01,CAN,CAD,Canada,2.85,1.47,1.93877551020408,-0.13448,-0.18566,-0.35417,-0.30099,0.62152,26087.3308070176,2.2619264531824,-0.0755,-0.23001,-0.38101,-0.26872,0.3003
2000-04-01,CHE,CHF,Switzerland,5.9,1.7,3.47058823529412,0.54937,0.45774,0.15609,0.2513,1.90267,23822.7606779661,2.2204212870576,0.68587,0.40411,0.12876,0.33352,1.37118
2000-04-01,CHL,CLP,Chile,1260,514,2.45136186770428,0.09436,0.02964,-0.18342,-0.11618,1.05023,4509.62359111111,1.86644904619057,0.4166,0.17984,-0.05153,0.12053,0.99245
2000-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,-0.46623,-0.49779,-0.60171,-0.56891,0,1639.66416161616,1.81384827160449,-0.28901,-0.40784,-0.52397,-0.43761,0
2000-04-01,CZE,CZK,Czech Republic,54.37,39.1,1.39053708439898,-0.37922,-0.41594,-0.5368,-0.49865,0.16299,9078.06946477837,1.95017977392835,-0.23093,-0.35947,-0.48508,-0.39167,0.08169
2000-04-01,DNK,DKK,Denmark,24.75,8.04,3.07835820895522,0.37427,0.29299,0.02544,0.10988,1.57463,21137.3540848485,2.17120300702727,0.52924,0.27366,0.02389,0.20963,1.15087
2000-04-01,EUZ,EUR,Euro area,2.56,1.075268817,2.38080000045235,0.06286,0,-0.20693,-0.14162,0.99121,19365.6627258204,2.13873135016182,0.20067,0,-0.1961,-0.05027,0.68874
2000-04-01,GBR,GBP,Britain,1.9,0.632911392,3.00200000192128,0.34018,0.26092,0,0.08235,1.51076,20958.5953684211,2.16792670742127,0.49356,0.24394,0,0.18141,1.10069
2000-04-01,HKG,HKD,Hong Kong,10.2,7.79,1.30937098844673,-0.41546,-0.45003,-0.56383,-0.52791,0.09511,42546.0746666667,2.56358321767675,-0.4491,-0.54117,-0.63115,-0.56424,-0.22516
2000-04-01,HUN,HUF,Hungary,339,279,1.21505376344086,-0.45757,-0.48964,-0.59525,-0.56192,0.01623,7513.22648731564,1.92149924559955,-0.31796,-0.43195,-0.54334,-0.4605,-0.04071
2000-04-01,IDN,IDR,Indonesia,14500,7945,1.82504719949654,-0.18525,-0.23343,-0.39206,-0.34199,0.5264,1006.67527635862,1.80224681643173,0.09224,-0.09031,-0.2687,-0.13604,0.53623
2000-04-01,ISR,ILS,Israel,14.5,4.05,3.58024691358025,0.59832,0.5038,0.19262,0.29084,1.99439,12693.8544551724,2.01645008049673,0.91506,0.59499,0.28221,0.51481,1.69353
2000-04-01,JPN,JPY,Japan,294,106,2.77358490566038,0.23821,0.16498,-0.07609,0,1.31973,31783.5932190476,2.3663278645888,0.26422,0.05293,-0.15355,0,0.77813
2000-04-01,KOR,KRW,South Korea,3000,1108,2.70758122743682,0.20874,0.13726,-0.09807,-0.0238,1.26452,9819.62765653333,1.9637710933338,0.48713,0.23858,-0.00431,0.17632,1.09164
2000-04-01,MEX,MXN,Mexico,20.9,9.41,2.22104144527099,-0.00846,-0.0671,-0.26015,-0.19922,0.8576,6594.38422966507,1.9046586540643,0.25776,0.04755,-0.15788,-0.00511,0.76903
2000-04-01,MYS,MYR,Malaysia,4.52,3.8,1.18947368421053,-0.46898,-0.50039,-0.60377,-0.57114,-0.00517,7085.99221238938,1.91366887226399,-0.32958,-0.44163,-0.55113,-0.4697,-0.05706
2000-04-01,NZL,NZD,New Zealand,3.4,2.01,1.69154228855721,-0.24485,-0.28951,-0.43653,-0.39012,0.41474,19095.9736470588,2.13378847386382,-0.14496,-0.28786,-0.42751,-0.32366,0.20262
2000-04-01,POL,PLN,Poland,5.5,4.3,1.27906976744186,-0.42899,-0.46276,-0.57393,-0.53884,0.06977,7047.41876363636,1.91296189596948,-0.27882,-0.39935,-0.51714,-0.42955,0.01434
2000-04-01,RUS,RUB,Russia,39.5,28.5,1.3859649122807,-0.38127,-0.41786,-0.53832,-0.5003,0.15917,1990.70501265823,1.82028216766811,-0.17876,-0.31601,-0.45015,-0.3504,0.15507
2000-04-01,SGP,SGD,Singapore,3.2,1.7,1.88235294117647,-0.15966,-0.20936,-0.37297,-0.32133,0.57433,25861.052,2.25777920273725,-0.10076,-0.25105,-0.39792,-0.2887,0.26478
2000-04-01,SWE,SEK,Sweden,24,8.84,2.71493212669683,0.21202,0.14034,-0.09563,-0.02115,1.27067,23872.478,2.22133250887574,0.31826,0.09794,-0.11737,0.04275,0.85414
2000-04-01,THA,THB,Thailand,55,38,1.44736842105263,-0.35385,-0.39207,-0.51787,-0.47816,0.21053,3131.31677090909,1.84118736283198,-0.15211,-0.29382,-0.43231,-0.32932,0.19255
2000-04-01,TWN,TWD,Taiwan,70,30.6,2.28758169934641,0.02124,-0.03915,-0.23798,-0.17523,0.91325,14201.4576,2.04408151401853,0.20708,0.00534,-0.19181,-0.0452,0.69775
2000-04-01,USA,USD,United States,2.24,1,2.24,0,-0.05914,-0.25383,-0.19238,0.87345,34496.24,2.41604540428296,0,-0.16713,-0.33046,-0.209,0.4065
2000-04-01,ZAF,ZAR,South Africa,9,6.72,1.33928571428571,-0.4021,-0.43746,-0.55387,-0.51713,0.12013,5208.99804444445,1.87926721971351,-0.23133,-0.3598,-0.48534,-0.39198,0.08114
2001-04-01,ARG,ARS,Argentina,2.5,1,2.5,0.11607,0.10541,-0.12148,0.05442,1.09091,7740.13184,1.70758153597307,0.56169,0.29848,0.04181,0.41429,0.91745
2001-04-01,AUS,AUD,Australia,3,1.98,1.51515151515152,-0.32359,-0.33005,-0.46756,-0.36096,0.26722,26815.6672,2.16276069275393,-0.25272,-0.37867,-0.50149,-0.32325,-0.08249
2001-04-01,BRA,BRL,Brazil,3.6,2.19,1.64383561643836,-0.26614,-0.27315,-0.42234,-0.30668,0.37484,4270.86488888889,1.62479811859304,0.07919,-0.1027,-0.28007,-0.02267,0.32503
2001-04-01,CAN,CAD,Canada,3.33,1.56,2.13461538461538,-0.04705,-0.05615,-0.24988,-0.09969,0.78531,24276.898018018,2.10218075128927,0.08315,-0.09941,-0.27743,-0.01909,0.32989
2001-04-01,CHE,CHF,Switzerland,6.3,1.73,3.64161849710983,0.62572,0.6102,0.27969,0.53592,2.04572,23410.9724444444,2.08151809281203,0.86617,0.55164,0.24493,0.69003,1.29129
2001-04-01,CHL,CLP,Chile,1260,601,2.09650582362729,-0.06406,-0.073,-0.26327,-0.11576,0.75344,4891.30858666667,1.63960310486759,0.36394,0.13406,-0.09011,0.2352,0.67464
2001-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,-0.46623,-0.47132,-0.57984,-0.49571,0,1803.49866666667,1.5659219898079,-0.18554,-0.32281,-0.45667,-0.26241,0
2001-04-01,CZE,CZK,Czech Republic,56,39,1.43589743589744,-0.35897,-0.3651,-0.49542,-0.39438,0.20093,9339.082,1.74573557840637,-0.12263,-0.2705,-0.4147,-0.20544,0.07723
2001-04-01,DNK,DKK,Denmark,24.75,8.46,2.92553191489362,0.30604,0.29357,0.02805,0.2339,1.44681,22515.5179313131,2.0601508167419,0.51476,0.25946,0.0105,0.37179,0.85982
2001-04-01,EUZ,EUR,Euro area,2.57,1.136363636,2.26160000072371,0.00964,0,-0.20526,-0.04613,0.89152,20238.9205029187,2.0058268002344,0.20271,0,-0.19767,0.08919,0.47668
2001-04-01,GBR,GBP,Britain,1.99,0.699300699,2.84570000122365,0.2704,0.25827,0,0.20023,1.38004,21041.288040201,2.02497284107446,0.49902,0.24637,0,0.35754,0.8405
2001-04-01,HKG,HKD,Hong Kong,10.7,7.8,1.37179487179487,-0.38759,-0.39344,-0.51794,-0.42142,0.14732,41719.4682616822,2.51839420300977,-0.41896,-0.51689,-0.61239,-0.4738,-0.2866
2001-04-01,HUN,HUF,Hungary,399,303,1.31683168316832,-0.41213,-0.41774,-0.53726,-0.4446,0.10135,7326.63489122807,1.69771469926724,-0.17262,-0.31207,-0.44806,-0.25072,0.01585
2001-04-01,IDN,IDR,Indonesia,14700,10855,1.35421464762782,-0.39544,-0.40121,-0.52412,-0.42883,0.13262,1116.68429714286,1.54953327097591,-0.06777,-0.22489,-0.37811,-0.15576,0.1446
2001-04-01,JPN,JPY,Japan,294,124,2.37096774193548,0.05847,0.04836,-0.16682,0,0.98299,32163.7690666667,2.29037674399998,0.10422,-0.08189,-0.26337,0,0.35576
2001-04-01,KOR,KRW,South Korea,3000,1325,2.26415094339623,0.01078,0.00113,-0.20436,-0.04505,0.89365,10733.1904512,1.77900170160043,0.35758,0.12877,-0.09435,0.22945,0.66684
2001-04-01,MEX,MXN,Mexico,21.9,9.29,2.35737351991389,0.0524,0.04235,-0.1716,-0.00573,0.97162,7222.38392694064,1.69522706968713,0.48333,0.23333,-0.01047,0.34333,0.82123
2001-04-01,MYS,MYR,Malaysia,4.52,3.8,1.18947368421053,-0.46898,-0.47406,-0.58201,-0.49832,-0.00517,8187.58159292036,1.7182585522346,-0.26158,-0.38603,-0.5074,-0.33127,-0.09337
2001-04-01,NZL,NZD,New Zealand,3.6,2.47,1.45748987854251,-0.34933,-0.35555,-0.48783,-0.38528,0.21899,19075.7653333333,1.97807166889442,-0.21404,-0.34651,-0.47568,-0.28822,-0.035
2001-04-01,PHL,PHP,Philippines,59,50.3,1.17296222664016,-0.47636,-0.48136,-0.58781,-0.50528,-0.01898,1824.32433898305,1.5664189306164,-0.20125,-0.33587,-0.46715,-0.27664,-0.01929
2001-04-01,POL,PLN,Poland,5.9,4.03,1.46401985111663,-0.34642,-0.35266,-0.48553,-0.38252,0.22445,7423.70928813559,1.70003108207356,-0.0814,-0.23622,-0.3872,-0.1681,0.12786
