prefecture,prefecture_en,year,minimum_wage
北海道,hokkaido,2025,1075
北海道,hokkaido,2024,1010
北海道,hokkaido,2023,960
北海道,hokkaido,2022,920
北海道,hokkaido,2021,889
北海道,hokkaido,2020,861
北海道,hokkaido,2019,861
北海道,hokkaido,2018,835
北海道,hokkaido,2017,810
北海道,hokkaido,2016,786
北海道,hokkaido,2015,764
北海道,hokkaido,2014,748
北海道,hokkaido,2013,734
北海道,hokkaido,2012,719
北海道,hokkaido,2011,705
北海道,hokkaido,2010,691
北海道,hokkaido,2009,678
北海道,hokkaido,2008,667
北海道,hokkaido,2007,654
北海道,hokkaido,2006,644
北海道,hokkaido,2005,641
北海道,hokkaido,2004,638
北海道,hokkaido,2003,637
北海道,hokkaido,2002,637
北海道,hokkaido,2001,637
北海道,hokkaido,2000,633
北海道,hokkaido,1999,628
北海道,hokkaido,1998,622
北海道,hokkaido,1997,611
北海道,hokkaido,1996,598
北海道,hokkaido,1995,586
北海道,hokkaido,1994,572
北海道,hokkaido,1993,559
北海道,hokkaido,1992,542
北海道,hokkaido,1991,520
北海道,hokkaido,1990,495
北海道,hokkaido,1989,472
北海道,hokkaido,1988,453
北海道,hokkaido,1987,440
北海道,hokkaido,1986,430
北海道,hokkaido,1985,418
北海道,hokkaido,1984,403
北海道,hokkaido,1983,394
北海道,hokkaido,1982,380
北海道,hokkaido,1981,359
北海道,hokkaido,1980,336
北海道,hokkaido,1979,314
北海道,hokkaido,1978,295
北海道,hokkaido,1977,277
青森,aomori,2025,1029
青森,aomori,2024,953
青森,aomori,2023,898
青森,aomori,2022,853
青森,aomori,2021,822
青森,aomori,2020,793
青森,aomori,2019,790
青森,aomori,2018,762
青森,aomori,2017,738
青森,aomori,2016,716
青森,aomori,2015,695
青森,aomori,2014,679
青森,aomori,2013,665
青森,aomori,2012,654
青森,aomori,2011,647
青森,aomori,2010,645
青森,aomori,2009,633
青森,aomori,2008,630
青森,aomori,2007,619
青森,aomori,2006,610
青森,aomori,2005,608
青森,aomori,2004,606
青森,aomori,2003,605
青森,aomori,2002,605
青森,aomori,2001,604
青森,aomori,2000,600
青森,aomori,1999,595
青森,aomori,1998,590
青森,aomori,1997,579
青森,aomori,1996,566
青森,aomori,1995,554
青森,aomori,1994,542
青森,aomori,1993,528
青森,aomori,1992,512
青森,aomori,1991,491
青森,aomori,1990,468
青森,aomori,1989,446
青森,aomori,1988,429
青森,aomori,1987,416
青森,aomori,1986,407
青森,aomori,1985,395
青森,aomori,1984,381
青森,aomori,1983,369
青森,aomori,1982,358
青森,aomori,1981,339
青森,aomori,1980,318
青森,aomori,1979,297
青森,aomori,1978,279
青森,aomori,1977,261
岩手,iwate,2025,1031
岩手,iwate,2024,952
岩手,iwate,2023,893
岩手,iwate,2022,854
岩手,iwate,2021,821
岩手,iwate,2020,793
岩手,iwate,2019,790
岩手,iwate,2018,762
岩手,iwate,2017,738
岩手,iwate,2016,716
岩手,iwate,2015,695
岩手,iwate,2014,678
岩手,iwate,2013,665
岩手,iwate,2012,653
岩手,iwate,2011,645
岩手,iwate,2010,644
岩手,iwate,2009,631
岩手,iwate,2008,628
岩手,iwate,2007,619
岩手,iwate,2006,610
岩手,iwate,2005,608
岩手,iwate,2004,606
岩手,iwate,2003,605
岩手,iwate,2002,605
岩手,iwate,2001,604
岩手,iwate,2000,600
岩手,iwate,1999,595
岩手,iwate,1998,590
岩手,iwate,1997,579
岩手,iwate,1996,566
岩手,iwate,1995,554
岩手,iwate,1994,541
岩手,iwate,1993,529
岩手,iwate,1992,512
岩手,iwate,1991,491
岩手,iwate,1990,468
岩手,iwate,1989,446
岩手,iwate,1988,429
岩手,iwate,1987,416
岩手,iwate,1986,407
岩手,iwate,1985,395
岩手,iwate,1984,381
岩手,iwate,1983,369
岩手,iwate,1982,358
岩手,iwate,1981,339
岩手,iwate,1980,318
岩手,iwate,1979,297
岩手,iwate,1978,279
岩手,iwate,1977,261
宮城,miyagi,2025,1038
宮城,miyagi,2024,973
宮城,miyagi,2023,923
宮城,miyagi,2022,883
宮城,miyagi,2021,853
宮城,miyagi,2020,825
宮城,miyagi,2019,824
宮城,miyagi,2018,798
宮城,miyagi,2017,772
宮城,miyagi,2016,748
宮城,miyagi,2015,726
宮城,miyagi,2014,710
宮城,miyagi,2013,696
宮城,miyagi,2012,685
宮城,miyagi,2011,675
宮城,miyagi,2010,674
宮城,miyagi,2009,662
宮城,miyagi,2008,653
宮城,miyagi,2007,639
宮城,miyagi,2006,628
宮城,miyagi,2005,623
宮城,miyagi,2004,619
宮城,miyagi,2003,617
宮城,miyagi,2002,617
宮城,miyagi,2001,617
宮城,miyagi,2000,613
宮城,miyagi,1999,607
宮城,miyagi,1998,602
宮城,miyagi,1997,591
宮城,miyagi,1996,581
宮城,miyagi,1995,569
宮城,miyagi,1994,554
宮城,miyagi,1993,540
宮城,miyagi,1992,523
宮城,miyagi,1991,502
宮城,miyagi,1990,479
宮城,miyagi,1989,456
宮城,miyagi,1988,440
宮城,miyagi,1987,426
宮城,miyagi,1986,417
宮城,miyagi,1985,405
宮城,miyagi,1984,391
宮城,miyagi,1983,379
宮城,miyagi,1982,368
宮城,miyagi,1981,349
宮城,miyagi,1980,328
